블록딜(block deal),"블록딜이란 대량의 주식을 보유한 매도자가 사전에 물량을 인수할 매수자를 구해 당일의 종가보다 할인된 가격에 지분을 넘기는 대량 매매를 의미한다. 이러한 블록딜은 주가 급등락과 같은 시장에의 악영향을 방지하기 위해 장이 끝난 후, 시간외거래를 통해 진행된다. 이를 통해 장중 주가 급락은 피할 수 있으나 다음날 주가가 하락할 확률이 높다. 참고자료[국제신문] 장 마감 후 대량거래 '블록딜'이란?.... 주가 하락 가능성 높아"
코리아 디스카운트(korea discount),"코리아 디스카운트(korea discount)란 국제 금융 시장에서 쓰이는 용어로 우리나라 기업이 성장성, 유동성, 수익성 등의 측면에서 비슷한 수준의 외국기업에 비해 주가가 낮게 형성되어 있는 현상을 의미한다. 불안정한 남북관계, 상대적으로 낮은 주가수익비율 등이 주요 원인으로 꼽힌다. 참고자료[세계일보] '북핵 리스크' 최고조.... 코리아 디스카운트 커진다​"
앵그리 맘(Angry mom),"앵그리 맘(Angry mom)이란 부조리한 사회 이슈에 적극적으로 의견을 표하는 40~50대 중년 주부를 가리킨다. 6·4 지방선거 당시 여야는 앵그리 맘의 표심을 잡고자 ‘안전’을 모토로 한 공약을 내걸고 조용한 선거 운동을 펼친 바 있다.21세기에는 ‘마더십(Mothership)’이 부각되고 있다. 독일 시사주간지 슈피겔은 2014년 9월 메르켈 총리가 총선에서 압승하여 3선 연임을 확정하자 이를 ‘엄마 리더십’으로 명명했다. 국민의 이익과 국가의 미래를 우선으로 하되, 상대방의 정책도 수용할 줄 아는 엄마의 따뜻한 리더십을 골자로 한다. 참고자료[조선비즈] 2014년 신조어·유행어 ⑧ 앵그리 맘(angry mom)"
해트트릭(hat trick),해트트릭이란 한 경기에서 한 선수가 3득점하는 것을 가리키는 용어로서 축구경기나 하키경기에서 주로 쓰인다. 20세기초 영국의 국기인 크리켓에서 3명의 타자를 연속으로 삼진 아웃시킨 투수에게 수여하는 모자(﻿​﻿​​﻿​hat)에서 유래되었다.﻿  참고자료[스포츠동아] 손흥민 해트트릭…‘400억 클래스’ 증명하다
판다노믹스,판다노믹스(Pandanomic)란 판다를 매개로 한 중국의 경제 · 외교 전략을 일컫는 말이다. 중국이 판다 임대를 통해 다른 나라의 가치 있는 자원이나 기술을 얻어낼 뿐만 아니라 외교 관계를 형성하는 현상이 자주 발생하면서 등장한 말이다 참고자료[이데일리] '판다노믹스 아세요?'..中경제 알려면 판다를 봐라
"프리세이프 시트벨트(PSB, Pre-Safe Seat Belt)","프리세이프 시트벨트(PSB, Pre-Safe Seat Belt)는 안전성을 강화시킨 안전벨트다. 앞쪽에서 충격을 받을 때 안전 벨트를 잡아당겨 의자에 상체를 밀착시키는 역할을 한다. 상체가 잘 고정되기에 에어백의 효과를 극대화할 수 있다. 급제동, 급회전 등 신체의 쏠림을 방지하기도 한다.  참고자료[머니투데이]'스마트카', IT기술 결합 '잘 달리는 차' 넘어 '안전한 차'로"
크리슈머(cresumer),"관련기사목록             내가 쓸 제품, 내 입맛대로… 지금은 크리슈머 시대                          안녕하세요, 여러분의 지식코멘터 배고운입니다!  여러분은 수동적인 소비로 욕구를 충족시키는 수준을 벗어나 스스로의 개성을 표현하는 창조적인 소비를 해 본 적이 있으신가요? 제가 오늘 여러분께 소개시켜드릴 지식용어는 ‘창조적인’을 뜻하는 ‘creative’와 ‘소비자’를 뜻하는 ‘consumer’의 합성어로, 창의적인 소비자를 일컫는 ‘크리슈머(cresumer)’입니다. 쉽게 말해, 이 집단은 기업의 제품이나 서비스를 수동적으로 받아들이지 않고 그들의 까다로운 욕구에 맞게 기업의 역할인 제품개발과 판매활동에 직접 개입하는 소비자라고 할 수 있습니다. 비록 전문가와 비전문가, 생산자와 소비자의 경계가 모호해졌지만 쌍방향 커뮤니케이션을 통해 서로의 만족감을 충족시켜주고 있습니다.  소비자의 아이디어를 적극적으로 반영함으로써 아이디어 생산비를 절감하면서 제품의 만족도를 훨씬 높일 수 있고, 높은 만족에 따른 입 소문은 고객들의 소비를 유도하는 큰 요소 중 하나이기 때문입니다.  시중에는 이미 다양한 업계의 기업들이 크리슈머와 함께 수익을 창출하고 있는데요. 외식업체인 아모제는 외식 아이디어 공모를 통해 여러 상품들을 내놓았고, 동부건설은 소비자들이 직접 주거상품을 개발하는 크리슈머 그룹을 운영하면서 소비층을 유혹했고, 미스터 피자는 ‘그녀들의 피자 콘테스트’를 통해 소비자의 입맛을 알아보고, 1위로 뽑힌 피자를 실제로 출시했다고 합니다.  ‘소비자의, 소비자에 의한, 소비자를 위한’ 패러다임으로 전환되고 있는 시장에서 기업들이 살아남기 위해서는 높은 기술력만큼이나 소비자와의 교감이 중요하다고 생각합니다. 이상 여러분의 지식코멘터 배고운이였습니다."
네이티브 광고(Native AD),"네이티브 광고(Native AD)란 온라인 미디어 채널과 같은 서비스 플랫폼에서 흔히 인식하고 있는 기사 유형과 유사한 형태로 등록하는 콘텐츠 스타일이다. 단순 홍보성 기사나 노출형 광고와는 차별된다. 해당 사이트의 원래 콘텐츠인 것처럼 기사 형태를 취하며, 일반 기사와도 동등하게 배치된다. 그래서 이용자(소비자)들은 광고라는 거부감 없이 정보성 콘텐츠로 자연스레 인식한다. 언론사는 갈수록 줄어드는 기존 광고를 대신할 돌파구로, 광고주(기업/브랜드)는 똑똑한 소비자를 공략하기 위한 신형 무기로 보고 있다. 참고자료[더피알]왜 네이티브 광고에 주목하는가"
적석총,​적석총은 일정한 구역에 구덩이를 파거나 구덩이 없이 시체를 놓고 그 위에 돌을 쌓아 만든 무덤을 말한다. 지난달에 서울 송파구 석촌동 고분공원에서 만주 고구려 장군총과 비교되는 초대형 적석총이 발굴됐다. 이 적석총은 사각형 적석 10여 개가 이어져 있는 것으로 드러났다. 지표면을 깎아내고 점토를 켜켜이 다져 올린 기반 위에 돌을 쌓아올린 적석이 잇따라 이어진 것이 특징이다. 참고자료[중앙일보] 서울 석촌동서 백제시대 초대형 적석총 발굴
좀비기업,"​좀비기업이란, 회생 가능성이 크지 않음에도, 정부나 채권단의 지원으로 파산을 면하는 부실기업을 의미한다. 되살아난 시체를 뜻하는 좀비(zombie)에서 파생된 말이다. 일반적으로 3년 연속 이자보상배율(영업이익을 이자비용으로 나눈 값)이 1 미만인 기업을 지칭한다. 이 기업들은 도움이 필요한 기업에 가야 할 사회적 자원을 가로채고 가격 등에서 출혈경쟁을 일으켜, 산업 경쟁력을 악화시킨다.  참고자료[JTBC TV] 위기의 5대 업종, '좀비기업' 심각…구조조정 급물살​"
